Loading ...



file changed,removing cache [04b916889d1e01190c127aaea25102b8 != None]
len fTblCache: 0
len virtualOffs: 5095
end: 264085504


"Name","FunctionTable offset","FunctionTable Store offset"
"cGUIOnlineID",0x0000000142b1da90,0x0000000143a37c80
"nEmDtTune::cSlingerResistValue",0x0000000142d26db8,0x0000000143b07a10
"nEmDtTune::cHagitoriValue",0x0000000142d26e78,0x0000000143b08228
"nHmAction::Bust::cNotUseItemTablet",0x0000000142d48f30,0x0000000143b0ff08
"uDecal",0x0000000142ea3278,0x0000000144828530
"nEffect::TubeLightSection",0x0000000142efb818,0x00000001448351d8
"nAISubsystem::cAIBehaviorEndEvaluateWithCount",0x0000000142ea9d90,0x0000000144829f80
"nEffect::Noise",0x0000000142ef48c0,0x00000001448335f8
"nEmDtTune::cEmLeaveCorpseConditions",0x0000000142d272f8,0x0000000143b08bc8
"cPacketEmActionBase",0x0000000142d96080,0x0000000143b26f70
"MtNetServiceError",0x0000000142e825a0,0x0000000144823690
"nMhAI::EndEvaluate",0x0000000142d7bf38,0x0000000143b200e0
"nDraw::DmaState",0x0000000142eec890,0x0000000144830688
"nHmTransition::cPopPickup",0x0000000142bdc3d0,0x0000000143a85438
"nHmAction::cActClimbPoleDownStop",0x0000000142d32748,0x0000000143b0bb28
"uGUIEcologyMap",0x0000000142e0a170,0x0000000143b40700
"nPlCamAct::cFixedPoint",0x0000000142c610e8,0x0000000143a967d0
"nTimelineParam::EmMotionCommon",0x0000000142d2ad40,0x0000000143b09308
"nNpcAction::cActClimbWall",0x0000000142d83178,0x0000000143b210d0
"nAISubsystem::cAIBehaviorController",0x0000000142ea9df8,0x0000000144829e28
"uSdlGI",0x0000000142d2bf10,0x0000000143b09d10
"nActOtomo::SlipDamage",0x0000000142d114c0,0x0000000143b02f68
"uHazeOverrider",0x0000000142df6888,0x0000000143b3f630
"nModelPartsInfo::cTagInfo",0x0000000142d7fc00,0x0000000143b20798
"nPlCamAct::cRideStart",0x0000000142c5fda8,0x0000000143a95768
"cGUILobbyStatus",0x0000000142b1c890,0x0000000143a37b30
"nQuestFSM::QuestProgress",0x0000000142d90010,0x0000000143b241d8
"nTimelineParam::NpcCommon",0x0000000142d885c8,0x0000000143b22528
"uGUIArmorColor",0x0000000142c138f0,0x0000000143a91e70
"rLimitBreakMaterialBase",0x0000000142bf39f8,0x0000000143a8cd98
"cPacketPlGeneral",0x0000000142bede18,0x0000000143a8ac90
"nHmAction::cActTarzanSwingUpFrontPrep",0x0000000142d33fd8,0x0000000143b0d7d0
"nHmTransition::cThroughTreeBegin",0x0000000142bdc200,0x0000000143a855c0
"uScholarModel",0x0000000142c0a500,0x0000000143a91378
"nActOtomo::WildCatDieIdle",0x0000000142d10400,0x0000000143b04fc8
"LinearDampingModifier::Container",0x0000000142effde8,0x0000000144837110
"uSdlAddonPl",0x0000000142e46150,0x0000000143b43e40
"nActEmCommon::LoopTimeDirectionalDamageFly",0x0000000142cf50a0,0x0000000143afac20
"nHmTransition::cMudDodge",0x0000000142d4c280,0x0000000143b12418
"nActOtomo::ClimbWallEnd",0x0000000142d107b0,0x0000000143b023d0
"cAnimalActBase",0x0000000142d19e90,0x0000000143b050e8
"cJointEx",0x0000000142c38af0,0x0000000143a93c10
"sUnit::MoveLine",0x0000000142e8ba98,0x0000000144823df0
"nWp::WeaponColor",0x0000000142d94660,0x0000000143b26880
"nHm::cTarzanSwingParam",0x0000000142c71800,0x0000000143ae0178
"nTimeline::ListPlayer",0x0000000142eabba0,0x000000014482a7a0
"nEmDtTune::cEmEnterPosDataSet",0x0000000142d27228,0x0000000143b07ee0
"nQuestFSM::CheckItemNum",0x0000000142d90418,0x0000000143b250f0
"nHmAction::cActUseItemThrowDown",0x0000000142d481e0,0x0000000143b0fbb8
"nNpcAction::cActHideBush",0x0000000142d838e8,0x0000000143b215a0
"nActOtomo::StandUp",0x0000000142d11b80,0x0000000143b03860
"cNpcTextVoice::RequestData",0x0000000142c39e20,0x0000000143a94480
"uGUIPlant",0x0000000142c2c900,0x0000000143a931b0
"nEffect::GroupItem",0x0000000142efa010,0x0000000144834d10
"nHmAction::cActEggStandUp",0x0000000142d342a0,0x0000000143b0a740
"nAISubsystem::cAIActionCommand",0x0000000142e9bb68,0x00000001448271f0
"nZone::cContentsPool",0x0000000142ea1270,0x00000001448281e8
"nHmTransition::cChargeCommandOff",0x0000000142d4dc60,0x0000000143b10d90
"nEmDtTune::cDyingValue",0x0000000142d26ec8,0x0000000143b085a8
"cRemoteProcedure",0x0000000142ef3200,0x00000001448331c8
"uMhMotionCamera",0x0000000142e34788,0x0000000143b42d68
"nEffect::TypeBillboardBase",0x0000000142ef1b68,0x0000000144832d60
"nHmAction::cActChairActionIdle",0x0000000142bdb570,0x0000000143a85118
"nEmDtTune::cEmSightValue",0x0000000142d27800,0x0000000143b07d90
"sLightProbes",0x0000000142eab4a0,0x000000014482a678
"nNetwork::VoiceChat::Talker",0x0000000142eb8bc0,0x000000014482c748
"nAISubsystem::cAIMsgActionCommand",0x0000000142ef5de0,0x0000000144833ab8
"cShootTargetController",0x0000000142c6a7d8,0x0000000143a98128
"nNetwork::Transport",0x0000000142ef71a8,0x00000001448341c0
"nEmDtTune::cAreaLinkDataSet",0x0000000142d277a8,0x0000000143b08068
"nNpc::WaitPattern",0x0000000142da4e28,0x0000000143b2adb0
"cGUISoundParam::FlowData",0x0000000142c336c0,0x0000000143a935b0
"nHmTransition::cWpOff",0x0000000142d4c9a0,0x0000000143b10e70
"cEpvSoundParam",0x0000000142b236d8,0x0000000143a39db0
"nNpcAction::cActAdjustRunEnd",0x0000000142d82db8,0x0000000143b21f40
"nGUI::Atlas",0x0000000142ef7c98,0x00000001448344a0
"uGUITipsList",0x0000000142e25818,0x0000000143b41d08
"rUserDictionaryList::Param",0x0000000142bf6bf8,0x0000000143a8d8f8
"cGUIGuildcardResearch",0x0000000142b1ab38,0x0000000143a37580
"uScrNpcObj",0x0000000142e45250,0x0000000143b43cb0
"rWwiseEventList",0x0000000142eaf960,0x000000014482b4b0
"nActOtomo::CapturedWait",0x0000000142d11d58,0x0000000143b04e78
"nActOtomo::MyHouseSit",0x0000000142d115b8,0x0000000143b04548
"uAIOtomo",0x0000000142dc4c28,0x0000000143b327c0
"nNpcAction::cActBaggageOut",0x0000000142d840f0,0x0000000143b21220
"nHmAction::cActDamageWallSlam",0x0000000142d355e8,0x0000000143b0cb20
"nEmDtTune::cSizeData",0x0000000142d27928,0x0000000143b08c38
"cpMhEffect",0x0000000142c65870,0x0000000143a96f20
"nQuestFSM::TagParam",0x0000000142d8f4e0,0x0000000143b244e8
"nActOtomo::ShootBarista",0x0000000142d12330,0x0000000143b04a50
"cpPosHistory",0x0000000142c67950,0x0000000143a97698
"nNpcAction::cActGotoBush",0x0000000142d84208,0x0000000143b21aa8
"nQuestFSM::GimmickEnableParam",0x0000000142d8f958,0x0000000143b25048
"nActOtomo::ToAttackPosBase",0x0000000142d10750,0x0000000143b02c90
"nHmAction::Bust::cPlantSwing",0x0000000142d495b0,0x0000000143b101a8
"cLeadersMissionSpecialXML",0x0000000142b202a8,0x0000000143a38728
"uVolumeSpherical",0x0000000142ea3a28,0x0000000144828680
"cQuestOpenList",0x0000000142da6018,0x0000000143b2b2f0
"uGUIRingShortcutEditor",0x0000000142c311a0,0x0000000143a93380
"nHmAction::cActCannonShootReadyStart",0x0000000142d34398,0x0000000143b0e480
"sRemoteProcedure::cTemporaryRemoteCall",0x0000000142eb35b8,0x000000014482bdd8
"cpModelTransparency",0x0000000142c65ba8,0x0000000143a97000
"rAIFSMList::Info",0x0000000142ea42a0,0x00000001448288f8
"mNullTransScale",0x0000000137192c58,
"cGUIFixedScrollList",0x0000000142b32798,0x0000000143a3b038
"cAcEquipXML",0x0000000142b11130,0x0000000143a33f70
"nActOtomo::EquipMenuTurn",0x0000000142d12898,0x0000000143b04628
"uGUIGraphicsOption",0x0000000142aab808,0x0000000143a33018
"nHm::cJumpParam",0x0000000142c71a18,0x0000000143ae03a8
"nActOtomo::SlingerWalk",0x0000000142d10ba0,0x0000000143b03588
"mpHitAfterTimeline",0x000000013a7a741e,
"uShellPlModoridama",0x0000000142e50020,0x0000000143b44e88
"uDynamicSbc",0x0000000142ebec60,0x000000014482dfb0
"nPlCamAct::cRideTrappedPreMot",0x0000000142c5fed8,0x0000000143a963a8
"rContinueSetting",0x0000000142bf0ac8,0x0000000143a8c0b0
"cEffectAttributeColor",0x0000000142d9c6d0,0x0000000143b28de0
"nQuestFSM::ShowMessage",0x0000000142d8e988,0x0000000143b24280
"nHmAction::cActEggDodge",0x0000000142d33b80,0x0000000143b0e678
"rEnemyInfo",0x0000000142d9f0e8,0x0000000143b299b0
"cGUIGuildCardPreview",0x0000000142b1a908,0x0000000143a37538
"uVolumeSphericalGm",0x0000000142c117c0,0x0000000143a91c08
"nHmAction::cActMining",0x0000000142d34da0,0x0000000143b0cd18
"cEmRepopSetter",0x0000000142dac3a0,0x0000000143b2cf68
"nActPugee::Sleep",0x0000000142b59400,0x0000000143a47b90
"uCnsChain",0x0000000142eb48c0,0x000000014482c008
"nNetwork::VoiceChat",0x0000000142eb8ba8,0x000000014482c710
"cFKSpine",0x0000000142da0428,0x0000000143b29be8
